#name	value	
D00174	32103_at	
BC004860	39422_at	
BC004860	32645_at	
AB042557	33364_at	
BC025406	33364_at	
BC026270	33364_at	
AB042556	33364_at	
AB042558	33364_at	
BC005949	33364_at	
BC002586	34671_at	
BC002586	782_at	
BC004424	34671_at	
BC004424	782_at	
BC014465	33112_at	
AK128370	33112_at	
BC053610	36705_at	
L37080	37874_at	
BC035687	37874_at	
AK022172	37874_at	
BC013313	2074_at	
BC005827	33352_at	
M60756	33352_at	
AB018279	38032_at	
BC000776	38032_at	
AK075480	38032_at	
BC013886	33909_at	
U78556	1229_at	
U78556	1230_g_at	
U78557	1229_at	
U78557	1230_g_at	
AK092672	40347_at	
L08246	277_at	
L08246	33146_at	
BC017197	277_at	
BC017197	33146_at	
AF203373	277_at	
AF203373	33146_at	
AF118277	277_at	
AF118277	33146_at	
AF118278	277_at	
AF118278	33146_at	
AF118276	277_at	
AF118276	33146_at	
NM_004436	39010_at	
NM_004436	39011_at	
NM_004436	39012_g_at	
AF067170	39010_at	
AF067170	39011_at	
AF067170	39012_g_at	
BC002642	41239_r_at	
BC016058	128_at	
BC016058	129_g_at	
BC016058	38466_at	
BC060838	35967_at	
BC060838	35968_s_at	
AL834279	35967_at	
AL834279	35968_s_at	
M69238	35967_at	
M69238	35968_s_at	
AF001307	35967_at	
AF001307	35968_s_at	
AB058772	40014_at	
AL122064	40014_at	
AF055020	40014_at	
BC003151	33873_at	
BC040300	146_at	
BC040300	40253_at	
AL050135	32144_at	
BC017471	32144_at	
BC009084	37405_at	
AK023875	37405_at	
U29091	37405_at	
AB007930	38688_at	
BX537838	38688_at	
AB037911	38688_at	
AJ242979	38688_at	
BC057773	38688_at	
AF284423	34547_at	
AY165003	34547_at	
BC004145	34547_at	
U80746	34547_at	
U80759	34547_at	
AF329264	34547_at	
BC004517	41514_s_at	
AL834219	35559_at	
BC031554	35559_at	
U16997	35559_at	
BC015973	39338_at	
D38583	38138_at	
BT009912	38138_at	
NM_007113	37635_at	
M60502	31542_at	
M24355	31542_at	
M60499	31542_at	
M21302	36734_at	
M21539	36242_at	
D83664	38879_at	
BC005928	41096_at	
BC034687	34458_at	
Z18954	34560_at	
BC016300	38087_s_at	
BC016300	38088_r_at	
BC012893	39633_at	
BC002829	2027_at	
BC002829	35726_at	
AF113702	36189_at	
BC000382	36189_at	
U10323	36189_at	
AB007945	35786_at	
BC000996	41833_at	
BC000996	41834_g_at	
AF151056	41833_at	
AF151056	41834_g_at	
BC000799	40210_at	
BC009227	40210_at	
AK092690	32754_at	
AF474157	32754_at	
BC038227	38014_at	
BC042147	37051_at	
AJ251016	37051_at	
AY138900	37051_at	
Y08263	37051_at	
BC006089	35621_at	
AK022497	38063_at	
BC016852	38063_at	
AK023219	38063_at	
U73377	38118_at	
BC014158	38118_at	
BC033925	38118_at	
J05582	1083_s_at	
J05582	34485_r_at	
J05582	38783_at	
J05582	38784_g_at	
J05582	38785_at	
J05582	927_s_at	
AY327587	1083_s_at	
AY327587	38783_at	
AY327587	38784_g_at	
AY327587	38785_at	
AY327587	927_s_at	
AY327588	1083_s_at	
AY327588	38783_at	
AY327588	38784_g_at	
AY327588	38785_at	
AY327588	927_s_at	
AY327596	1083_s_at	
AY327596	38783_at	
AY327596	38784_g_at	
AY327596	38785_at	
AY327596	927_s_at	
AY327582	1083_s_at	
AY327582	38783_at	
AY327582	38784_g_at	
AY327582	38785_at	
AY327582	927_s_at	
AY327583	1083_s_at	
AY327583	38783_at	
AY327583	38784_g_at	
AY327583	38785_at	
AY327583	927_s_at	
AY327584	1083_s_at	
AY327584	38783_at	
AY327584	38784_g_at	
AY327584	38785_at	
AY327584	927_s_at	
AY327585	1083_s_at	
AY327585	38783_at	
AY327585	38784_g_at	
AY327585	38785_at	
AY327585	927_s_at	
AY327586	1083_s_at	
AY327586	38783_at	
AY327586	38784_g_at	
AY327586	38785_at	
AY327586	927_s_at	
AY327589	1083_s_at	
AY327589	38783_at	
AY327589	38784_g_at	
AY327589	38785_at	
AY327589	927_s_at	
AY327590	1083_s_at	
AY327590	38783_at	
AY327590	38784_g_at	
AY327590	38785_at	
AY327590	927_s_at	
AY327591	1083_s_at	
AY327591	38783_at	
AY327591	38784_g_at	
AY327591	38785_at	
AY327591	927_s_at	
AY327592	1083_s_at	
AY327592	38783_at	
AY327592	38784_g_at	
AY327592	38785_at	
AY327592	927_s_at	
AY327595	1083_s_at	
AY327595	38783_at	
AY327595	38784_g_at	
AY327595	38785_at	
AY327595	927_s_at	
AY327597	1083_s_at	
AY327597	38783_at	
AY327597	38784_g_at	
AY327597	38785_at	
AY327597	927_s_at	
AY327598	1083_s_at	
AY327598	38783_at	
AY327598	38784_g_at	
AY327598	38785_at	
AY327598	927_s_at	
AY327599	1083_s_at	
AY327599	38783_at	
AY327599	38784_g_at	
AY327599	38785_at	
AY327599	927_s_at	
AY327600	1083_s_at	
AY327600	38783_at	
AY327600	38784_g_at	
AY327600	38785_at	
AY327600	927_s_at	
M26316	34485_r_at	
M26316	38785_at	
M26316	927_s_at	
L38969	32670_at	
BC000349	32631_at	
BC000349	32632_g_at	
BC003356	32631_at	
BC003356	32632_g_at	
BC003356	40889_at	
M16328	32631_at	
M16328	32632_g_at	
M16328	40889_at	
BC006297	33740_at	
BC040136	33740_at	
AF070550	33740_at	
BC008854	33740_at	
BC017262	33740_at	
BC010471	33740_at	
BC000161	32799_at	
BC006274	646_s_at	
BC053603	646_s_at	
BC025737	37077_at	
Y07566	38331_at	
AB020714	33885_at	
AY112680	33885_at	
AY112682	33885_at	
BC027182	33885_at	
AL512715	40099_at	
AL512715	40100_at	
AL512715	40101_g_at	
AB014551	40099_at	
AB014551	40100_at	
AB014551	40101_g_at	
BC020567	40099_at	
BC020567	40100_at	
BC020567	40101_g_at	
AF486838	40099_at	
AF486838	40100_at	
AF486838	40101_g_at	
BC000341	36147_at	
BX649192	36147_at	
BC007453	34868_at	
AB029012	34868_at	
BC038296	34868_at	
AK027486	34868_at	
BC006501	40774_at	
BC008019	40774_at	
BC059943	40482_s_at	
BC059943	40483_at	
BC059943	40484_g_at	
BC050448	40482_s_at	
BC050448	40483_at	
BC050448	40484_g_at	
U49857	40482_s_at	
U49857	40483_at	
U49857	40484_g_at	
BC054520	35434_at	
BC001109	1057_at	
BC001109	41783_at	
D16431	36446_s_at	
D16431	38779_r_at	
L24521	36446_s_at	
L24521	38779_r_at	
BC012107	34432_at	
BC057394	39281_at	
AB002378	39281_at	
L16464	1908_at	
L16464	32303_at	
BC022868	1908_at	
BC022868	32303_at	
AY358494	39996_at	
U82812	39996_at	
M28826	34927_at	
M61877	38906_at	
AF060556	38906_at	
M11049	38906_at	
BC010940	34439_at	
AF024714	34439_at	
AK124069	39287_at	
X56692	37020_at	
AY007127	36678_at	
BC002616	36678_at	
U52155	33951_at	
U06631	39823_at	
BC013107	39823_at	
X75535	40471_at	
AB062286	40471_at	
BT006879	40471_at	
BC038447	36962_at	
U24105	36962_at	
AJ223324	37856_at	
AF054816	37856_at	
Y12632	37856_at	
AF054817	37856_at	
U96627	37856_at	
AF054818	37856_at	
U33017	33513_at	
BC012602	33513_at	
BC016182	38006_at	
BC030224	38006_at	
BC013910	40494_at	
AK023311	39445_at	
AF038661	39445_at	
Z30425	105_at	
D10537	37070_at	
J04162	31499_s_at	
J04162	37200_at	
X52645	31499_s_at	
X52645	37200_at	
NM_000570	31499_s_at	
NM_000570	37200_at	
AL050137	36007_at	
BC047472	36007_at	
AB008109	33890_at	
BC012063	1048_at	
BC012063	1049_g_at	
U34252	33899_at	
U50203	33899_at	
BC011410	33899_at	
AY359027	39116_at	
AF274935	39116_at	
AF070626	39116_at	
AF277194	39116_at	
U79725	37875_at	
AK128376	37078_at	
BC025703	37078_at	
BC006786	35311_at	
AK095456	35311_at	
AF299350	31924_at	
AL035122	31924_at	
AF331033	31924_at	
AF176813	31924_at	
AL110297	37000_at	
BC028163	40299_at	
BC028163	40300_g_at	
BC028163	40301_at	
AF091890	40299_at	
AF091890	40300_g_at	
AF091890	40301_at	
NM_003175	31495_at	
NM_003175	31496_g_at	
BC033736	38057_at	
BC033736	38058_at	
BC033736	38059_g_at	
AL049687	32501_at	
BC026073	32501_at	
AJ237724	35248_at	
BC018514	35248_at	
M16967	35245_at	
AJ297255	35245_at	
M94010	35245_at	
AJ297254	35245_at	
BC028067	40366_at	
M25322	40366_at	
AY367063	40366_at	
M25280	245_at	
AJ246000	245_at	
BC020758	245_at	
AY367061	245_at	
M30640	265_s_at	
AY367062	265_s_at	
BC008679	35677_at	
AL117233	41329_at	
BC014662	41329_at	
AY144493	41329_at	
U59919	40779_at	
BC029261	40403_at	
AK097310	40403_at	
BC031264	36818_at	
BC031264	37119_at	
AL035301	37080_at	
BC006539	37080_at	
BC006539	751_at	
BT006734	751_at	
BC041663	32319_at	
D90224	32319_at	
AF130100	37175_at	
BC022309	37175_at	
AL049705	32732_at	
D25539	40156_at	
BC020789	40156_at	
X98085	34598_at	
AB006627	36824_at	
BC015438	36824_at	
BX538317	1084_at	
M35296	1084_at	
BC009944	33079_at	
AL161952	40522_at	
BC018992	40522_at	
U70426	41779_at	
BT006638	41779_at	
AF288395	32090_at	
BC020998	32090_at	
AL050020	35516_at	
M32011	41038_at	
AF006088	38392_at	
BC057237	38392_at	
BC019709	39550_at	
AF288389	39550_at	
AF205218	33752_at	
AJ012449	33752_at	
BX649183	33752_at	
U69668	421_at	
X66397	421_at	
X63105	421_at	
AF076463	34603_at	
AF076464	34603_at	
AF076465	34603_at	
M33478	34603_at	
AY151286	1069_at	
BC013734	1069_at	
U67037	34442_at	
BC022507	38583_at	
M14057	34616_at	
D26361	34563_at	
AL137395	32646_at	
AB007918	32646_at	
L33798	34913_at	
U14413	34913_at	
U18986	34913_at	
X74819	38793_at	
AY277394	38793_at	
BC002653	38793_at	
AK125236	38793_at	
S71126	38793_at	
X79861	38793_at	
X79859	38793_at	
U42408	33282_at	
BC012600	38486_at	
BC004265	38700_at	
BC032493	38700_at	
X54162	37765_at	
BC001755	37765_at	
BC001746	1760_s_at	
BC001746	39672_at	
BT009848	1760_s_at	
BT009848	39672_at	
AF394064	1760_s_at	
AF394064	39672_at	
AK124510	36251_at	
AL133048	39713_at	
AL133040	39713_at	
AJ132440	39713_at	
AJ243706	39713_at	
AF087481	39713_at	
AL133072	39713_at	
AL137622	39713_at	
AB015348	39713_at	
BC037392	38264_at	
BT007133	38264_at	
AY359026	35329_at	
AF091084	35329_at	
AK027319	35329_at	
BC053899	32410_at	
BT007233	32410_at	
X75546	33431_at	
L05606	41017_at	
BC044226	41017_at	
M80927	36197_at	
AK131093	37061_at	
U62662	37061_at	
U05291	33431_at	
BC047752	39655_at	
X00063	39655_at	
AF117822	39655_at	
U43527	1645_at	
BC022819	1645_at	
AB023186	33807_at	
Y11312	41715_at	
AF030435	39583_at	
BC037284	36769_at	
X85134	36769_at	
AB007941	36831_at	
BC060870	36831_at	
BC048204	36831_at	
AF068286	36831_at	
BC040145	38496_at	
BC040145	38497_at	
M85164	38496_at	
M85164	38497_at	
D84488	37466_at	
M57627	1548_s_at	
AF043333	1548_s_at	
BC006401	32967_at	
S62403	34005_at	
BX538076	38747_at	
BX538076	538_at	
M81104	38747_at	
M81104	538_at	
AF202879	38747_at	
AF202879	538_at	
AF538601	38747_at	
AF538601	538_at	
AK021813	40395_at	
BC006193	40395_at	
BC009343	40395_at	
AB007932	40395_at	
X87831	40395_at	
AY358496	40395_at	
D37766	36929_at	
AF027292	41619_at	
AF078742	33087_s_at	
AF078742	33088_at	
BC043502	366_s_at	
AY045701	366_s_at	
BC052807	366_s_at	
D86960	34387_at	
AF255793	41335_at	
BC047469	38198_at	
AF510741	38198_at	
BC016966	38198_at	
BC016966	38199_at	
X82676	801_at	
BC017300	801_at	
AF055580	32948_at	
AB020639	31843_at	
AY388456	31843_at	
AY388460	31843_at	
BC008218	31843_at	
AF117255	31843_at	
X54326	35300_at	
BC058921	35300_at	
BC046156	35300_at	
AK021928	32762_i_at	
AK021928	32763_r_at	
AF255648	32762_i_at	
AF255648	32763_r_at	
AL117631	32762_i_at	
AL117631	32763_r_at	
BC031405	38555_at	
BC020608	38555_at	
AK001054	35006_at	
BC013808	35006_at	
BC058918	1860_at	
BC058918	34822_at	
AJ318888	1860_at	
AJ318888	34822_at	
U68140	40285_at	
AF401208	40285_at	
BC020079	288_s_at	
AB018335	35442_at	
AB018335	39339_at	
BC027883	35932_at	
BC035718	35932_at	
BC035718	39325_at	
BC034563	36827_at	
AB043587	36827_at	
AF020762	36827_at	
BC037545	1287_at	
BC037545	41146_at	
BC014206	1287_at	
BC014206	41146_at	
AF401218	1287_at	
AF401218	41146_at	
AJ242780	37272_at	
BC015009	37272_at	
AB007920	32206_at	
AJ518976	39962_at	
AJ518976	32206_at	
AJ518975	39962_at	
AJ518975	32206_at	
AK027000	32206_at	
AF250871	39962_at	
U59305	39962_at	
BC012597	31737_at	
AY280960	31737_at	
AK001676	39390_at	
AF216833	35458_r_at	
AJ009770	35186_at	
BC041094	35186_at	
AK124803	37060_at	
K02215	684_at	
BT006851	684_at	
AB007895	39650_s_at	
AK074078	39650_s_at	
U38847	39779_at	
D13641	36198_at	
BC029451	33233_at	
BC029451	33234_at	
BC022485	39666_at	
U67615	35695_at	
U67615	35696_s_at	
BC045606	35366_at	
M30269	35366_at	
AF090116	40653_at	
BC022009	40653_at	
BC003108	32546_at	
X64728	32278_at	
AL161964	33893_r_at	
AB007939	33893_r_at	
AB022657	33893_r_at	
AB022658	33893_r_at	
BC050722	33893_r_at	
BC012356	33167_r_at	
BC015782	1694_s_at	
BC015782	38654_at	
BC003367	1694_s_at	
BC003367	38654_at	
BC007950	1694_s_at	
BC007950	38654_at	
BC034925	38654_at	
AF068846	1694_s_at	
AF068846	38654_at	
AF461014	38654_at	
D13413	1694_s_at	
D13413	38654_at	
BC012307	35672_at	
AY157619	35672_at	
AF173978	35672_at	
AL080144	35672_at	
AB059277	35672_at	
S54641	33658_at	
M83653	36611_at	
BC020699	36611_at	
BC007422	36611_at	
BT007136	36611_at	
Y16846	36611_at	
J02969	35928_at	
AB029029	32712_at	
AF036943	32712_at	
AF200348	39327_at	
BC009496	39327_at	
BC002866	34646_at	
AK094181	41590_at	
BC014164	41590_at	
BC017475	41590_at	
AK126524	41590_at	
AB028641	34569_at	
AF442151	38549_at	
D79983	37695_at	
BC030639	41215_s_at	
BC030639	41216_r_at	
AB007860	39410_at	
AK091121	39410_at	
BC018137	34497_at	
L39061	34497_at	
AF272830	40944_at	
X59618	36922_at	
BC028932	36922_at	
BC017482	35693_at	
BT009835	35693_at	
AF070616	35693_at	
BC026110	39268_at	
BC054502	38875_r_at	
D80010	38098_at	
D87119	40113_at	
D87119	717_at	
X70649	37663_at	
BC012739	37663_at	
AF320053	35158_at	
BC002712	2078_s_at	
BC002712	35158_at	
BC022012	34281_at	
BC004148	36694_at	
AF498971	1826_at	
BC002614	355_s_at	
AJ000881	36118_at	
AJ000881	484_at	
AJ000882	36118_at	
AJ000882	484_at	
U40396	36118_at	
U40396	484_at	
U19179	36118_at	
U19179	484_at	
AB023170	32937_at	
AB023170	32938_at	
AB023170	32939_g_at	
BC049384	32937_at	
BC049384	32938_at	
BC049384	32939_g_at	
D16481	39741_at	
AF065163	41325_at	
BC011013	527_at	
U14518	527_at	
BC000881	527_at	
BT007246	527_at	
BC011557	40825_at	
Y11174	40825_at	
BC007530	35740_at	
AL050138	35740_at	
X78678	37606_at	
X78678	37607_at	
X78678	37608_g_at	
D78586	32031_at	
D78586	749_at	
BC014178	32031_at	
BC014178	749_at	
D31764	37654_at	
Z48475	37059_at	
BC007451	41756_at	
BC020834	39716_at	
BC020834	39717_g_at	
BC020834	39718_r_at	
AK000097	38053_s_at	
AF420603	38053_s_at	
AF420604	38053_s_at	
AF420605	38053_s_at	
BC001251	38053_s_at	
AK123076	38053_s_at	
BC022791	40268_at	
AK026959	40268_at	
X80910	41244_f_at	
D26488	38250_at	
D87716	38250_at	
BC024234	38250_at	
AB029006	35171_at	
AK098486	41843_r_at	
M34057	1495_at	
BC027849	34748_at	
AF167706	40936_at	
BC047756	35966_at	
AB062487	35966_at	
BC016324	37197_s_at	
BC016324	37198_r_at	
BC040558	37197_s_at	
BC040558	37198_r_at	
AF151818	37197_s_at	
AF151818	37198_r_at	
AF151818	37199_at	
BC006969	37197_s_at	
BC006969	37198_r_at	
BC006969	37199_at	
AL050006	37197_s_at	
AL050006	37198_r_at	
AL050006	37199_at	
AJ271835	32665_at	
BC012002	32665_at	
NM_000341	39284_at	
D82326	39284_at	
AJ012611	34148_at	
AL162671	34148_at	
X65293	32891_at	
X65293	417_at	
BC051338	38230_at	
BC051338	38092_at	
BC015869	38092_at	
BC056154	40555_at	
AF498976	40555_at	
AB014571	32669_at	
M26481	575_s_at	
BC021566	860_at	
BC021566	861_g_at	
U54777	1017_at	
U54777	2003_s_at	
Y16676	1017_at	
Y16676	2003_s_at	
U57029	31702_at	
BC012290	36221_at	
M96803	39556_at	
M96803	39452_s_at	
AF327441	39556_at	
AF327441	39452_s_at	
AF218848	39556_at	
AF218848	39452_s_at	
BC001392	34570_at	
BC027854	33124_at	
X75042	1856_at	
X75042	41572_r_at	
AB022192	37464_at	
AK000828	40423_at	
AL833968	40423_at	
AB020710	40423_at	
BC001484	36608_at	
BC002954	37373_at	
BC047004	37373_at	
BC026216	41126_at	
BC026216	41127_at	
AB011154	32604_s_at	
AB011154	40191_s_at	
BC002982	32604_s_at	
BC002982	40191_s_at	
AF006082	35733_at	
BC036253	35733_at	
BC043503	40763_at	
BC008304	33720_at	
BC018152	33720_at	
BC018549	37328_at	
BC039591	38149_at	
D29642	38149_at	
D78152	37374_at	
BX641114	37374_at	
BC017890	35286_r_at	
X76302	35286_r_at	
L06895	1774_at	
L06895	34543_at	
X78137	34305_at	
BC035978	32959_at	
M25809	32959_at	
X98494	33797_at	
D83032	32674_at	
BC024000	32674_at	
AF534078	32674_at	
AF273049	32674_at	
AK128706	32674_at	
BC017310	32108_at	
S71376	32108_at	
BC045762	33046_f_at	
X68879	33046_f_at	
U50383	36462_at	
BC019296	38720_at	
AJ417593	38343_at	
AJ417593	38344_at	
AB002326	38343_at	
AB002326	38344_at	
BC050330	38343_at	
BC007682	39391_at	
BC012617	1197_at	
BC024019	37335_at	
BC001121	37335_at	
BC015757	37335_at	
BC022243	38559_at	
AB007861	38559_at	
BC015062	40074_at	
BC017054	40074_at	
BC006356	39454_f_at	
BC006356	39455_r_at	
AF141305	39845_at	
AF035299	34433_at	
AF035299	815_at	
AF035299	816_g_at	
AL136552	39574_at	
AF119878	39574_at	
NM_000189	40964_at	
Z46376	40964_at	
BC030144	37174_at	
BC005350	38646_s_at	
BC052996	208_at	
BC052996	31841_at	
M94151	208_at	
M94151	31841_at	
BX537769	208_at	
BX537769	31841_at	
BC001854	32571_at	
BC001634	32715_at	
AF053233	32715_at	
BC017891	32533_s_at	
BC023576	37145_at	
BX640698	34786_at	
BC038297	34786_at	
AB018285	34786_at	
BC012165	36580_at	
AK025448	36580_at	
AY354203	32788_at	
BC015529	38036_at	
BC000458	38051_at	
BC032812	41650_at	
BC024211	41639_at	
M62324	38278_at	
BC006229	39443_s_at	
BC006229	39921_at	
BT006742	39443_s_at	
BT006742	39921_at	
BC053878	1498_at	
BC039039	1498_at	
AB083211	1498_at	
AF065314	32404_at	
BC028361	33506_at	
BC028361	33507_g_at	
BC028361	33508_at	
U26398	33506_at	
U26398	33507_g_at	
U26398	33508_at	
U96919	33506_at	
U96919	33507_g_at	
U96919	33508_at	
AF368319	33506_at	
AF368319	33507_g_at	
AF368319	33508_at	
BC025992	39442_at	
AF151083	37441_at	
BC009772	37441_at	
AB018284	40537_at	
U77970	39548_at	
BC051351	39548_at	
BC051351	39549_at	
AK026791	39548_at	
AK026791	39549_at	
BC017343	33676_at	
X69181	33676_at	
AB014587	35694_at	
BC039031	998_s_at	
BC027733	998_s_at	
U64094	998_s_at	
M27492	1368_at	
AF284434	31560_at	
BC030975	40321_at	
BC030975	40322_at	
U43672	36377_at	
AY192162	36377_at	
AF077346	33093_at	
U92642	31334_at	
BC007195	33002_at	
BC007195	33003_at	
BC007195	33004_g_at	
BX537861	32788_at	
AB008164	35716_at	
BT006951	35716_at	
BC005341	39232_at	
D42063	32788_at	
U19240	32788_at	
U19248	32788_at	
U64675	41174_at	
AF012086	41174_at	
AF032457	31611_s_at	
AF032457	33047_at	
AY352518	31611_s_at	
AY352518	33047_at	
AB071195	31611_s_at	
AB071195	33047_at	
AB071196	31611_s_at	
AB071196	33047_at	
AB071197	31611_s_at	
AB071197	33047_at	
AB071198	31611_s_at	
AB071198	33047_at	
AB071199	31611_s_at	
AB071199	33047_at	
AB071200	31611_s_at	
AB071200	33047_at	
AY423441	31611_s_at	
AY423441	33047_at	
AY423442	31611_s_at	
AY423442	33047_at	
AY423443	31611_s_at	
AY423443	33047_at	
AY428962	31611_s_at	
AY428962	33047_at	
AF455755	31611_s_at	
U08023	1786_at	
U08023	40648_at	
D16316	1786_at	
D16316	40648_at	
BC019944	1138_at	
BC016752	1138_at	
BC009745	37603_at	
BC035307	41443_at	
U63127	41443_at	
BC044590	35271_at	
BC024739	398_at	
X98743	398_at	
AK091227	398_at	
BC022475	35833_at	
AF125392	35833_at	
BC016004	40331_at	
BC006466	37692_at	
BC010674	1459_at	
BC010674	1460_g_at	
AK127675	228_at	
AK127675	32776_at	
BC018163	228_at	
BC018163	32776_at	
BT006953	228_at	
BT006953	32776_at	
BC030029	38545_at	
AB007295	1200_at	
AB007295	34456_s_at	
X78627	36177_at	
X12496	38119_at	
BC034377	39255_at	
S72338	39255_at	
BX538082	39972_at	
BC031653	39972_at	
Z94155	39972_at	
BC010042	38275_at	
BC041562	160041_at	
BC052800	160041_at	
X79568	160041_at	
AF249745	36524_at	
AB029035	36524_at	
AB042199	36524_at	
AL137289	36524_at	
AK000790	39525_at	
BC013991	39525_at	
BC057810	38350_f_at	
BC057810	685_f_at	
AF038169	37883_i_at	
AF038169	37884_f_at	
AF038169	37885_at	
AF034633	33142_at	
D17716	31313_at	
AF048731	32053_at	
AF048731	32054_at	
AF048731	32055_g_at	
D31886	33417_at	
D31886	33418_at	
BC022977	33417_at	
BC022977	33418_at	
BC001217	36610_at	
D21852	36610_at	
BC041093	36610_at	
BC035594	37336_at	
AF523357	37604_at	
BC005907	37604_at	
D16224	37604_at	
U57721	40670_at	
U57721	40671_g_at	
U57721	40672_at	
BC000879	40670_at	
BC000879	40671_g_at	
BC000879	40672_at	
M93415	35162_s_at	
BC017298	35778_at	
AB011103	35778_at	
AL117393	35778_at	
BC030205	1372_at	
AL080129	32922_at	
AL080129	32954_at	
U79263	32922_at	
U79263	32954_at	
AK074349	32922_at	
AK074349	32954_at	
U39196	33527_at	
U36310	41021_s_at	
U36310	41022_r_at	
BC019874	41021_s_at	
BC019874	41022_r_at	
AF311325	41021_s_at	
AF311325	41022_r_at	
X81889	39788_at	
X81889	33475_at	
BC050308	39788_at	
U81005	39788_at	
AK022973	35268_at	
BC003404	35268_at	
U59863	39742_at	
BT009855	39742_at	
U86782	33247_at	
BC009524	33247_at	
U49250	38939_r_at	
BC005214	37556_at	
BC048417	36725_at	
M94055	36725_at	
BC001555	37385_at	
U40763	37385_at	
BC020818	38450_at	
M20328	38450_at	
M35261	38450_at	
X14684	38450_at	
M35263	38450_at	
M35262	38450_at	
M81883	37183_at	
BC002815	37183_at	
AL117430	35805_at	
AK023201	35805_at	
BC001408	35805_at	
BX537412	35788_at	
BX537412	35787_at	
AK055491	35788_at	
AK055491	35787_at	
AK026574	35788_at	
AK026574	35787_at	
AF030424	41855_at	
BC018682	41855_at	
X53586	2077_at	
X53586	41266_at	
X53586	33410_at	
X53586	33411_g_at	
BC050585	41266_at	
BC050585	33410_at	
BC050585	33411_g_at	
BC039158	36386_at	
U78516	41011_i_at	
U78516	41012_r_at	
NM_000523	33091_at	
X59373	414_at	
X59372	36882_at	
X59372	413_at	
BC016763	38294_at	
BC016763	443_at	
BC016763	444_g_at	
BC005124	38293_s_at	
AF241528	33130_at	
BC014477	33130_at	
BC028190	33130_at	
AF053551	35642_at	
BC017271	35642_at	
AY363225	33817_at	
AF517524	33817_at	
Y09443	39225_at	
BC003554	34850_at	
BC055419	2061_at	
BC055419	35731_at	
AJ504733	2061_at	
AJ504733	35731_at	
BC016671	2061_at	
BC016671	35731_at	
X16983	2061_at	
X16983	35731_at	
AJ510246	2061_at	
AJ510246	35731_at	
AJ510248	2061_at	
AJ510248	35731_at	
AB067514	38409_at	
BC028706	38409_at	
AB116937	38409_at	
AK097375	38409_at	
AK091197	38409_at	
AK098455	38409_at	
BC012947	38409_at	
AY327407	33601_at	
AF220184	35750_at	
AK001901	35750_at	
AF289586	35750_at	
AF161421	35750_at	
AF119892	35750_at	
M14648	257_at	
M14648	39071_at	
M14648	2032_s_at	
AF191771	41419_at	
BC028178	32488_at	
X14420	32488_at	
S79877	32488_at	
M59227	32488_at	
X01655	32488_at	
X01742	32488_at	
BC008410	41461_at	
BC008410	524_at	
BC008410	525_g_at	
BC015496	41524_at	
BC015496	656_at	
AF045451	38692_at	
BC038507	34719_at	
AF327434	34719_at	
BC053558	41439_at	
AJ001381	41439_at	
BC023518	39353_at	
AF250319	38698_at	
BC005237	38698_at	
AK027043	38698_at	
AF093825	38698_at	
AL080070	38698_at	
D42108	1182_at	
BX537442	1182_at	
L11005	37599_at	
Z70221	40108_at	
D13630	40108_at	
BC001804	40108_at	
BC018183	38981_at	
Y14039	1867_at	
Y14039	1868_g_at	
Y14039	32746_at	
BT006751	1867_at	
BT006751	1868_g_at	
BT006751	32746_at	
BC042844	1326_at	
BC042844	1765_at	
BC042844	1766_g_at	
BC042844	39999_at	
U60519	1326_at	
U60519	1765_at	
U60519	1766_g_at	
U60519	39999_at	
X98172	31491_s_at	
X98172	33774_at	
X98172	33775_s_at	
AB017365	33222_at	
BC052985	39998_at	
U25110	39998_at	
X95632	1040_s_at	
X95632	134_at	
X95632	135_g_at	
X95632	36448_at	
AF260261	1040_s_at	
AF260261	134_at	
AF260261	135_g_at	
AF260261	36448_at	
U23435	1040_s_at	
U23435	134_at	
U23435	135_g_at	
U23435	36448_at	
U31089	1040_s_at	
U31089	134_at	
U31089	135_g_at	
U31089	36448_at	
X95677	1040_s_at	
X95677	134_at	
X95677	135_g_at	
X95677	36448_at	
AJ517504	32861_s_at	
J02988	32861_s_at	
BC028006	34607_at	
BC028210	34607_at	
BC009222	33853_s_at	
BC009222	41304_at	
AF016098	33853_s_at	
AF016098	41304_at	
AF280544	33853_s_at	
AF280544	41304_at	
AF280545	33853_s_at	
AF280545	41304_at	
AF280546	33853_s_at	
AF280546	41304_at	
AJ005580	40350_at	
BC001544	39299_at	
AB023188	39299_at	
AK001315	39299_at	
BC010636	37535_at	
BC010636	877_at	
AY347527	37535_at	
AY347527	877_at	
AY457063	32085_at	
AK091482	32085_at	
AB023198	32085_at	
U25128	36388_at	
BC038857	183_at	
BC038857	1972_s_at	
BC038857	35422_at	
BC038857	219_i_at	
BC038857	220_r_at	
U01828	183_at	
U01828	1972_s_at	
U01828	35422_at	
U01828	219_i_at	
U01828	220_r_at	
S76756	183_at	
S76756	1972_s_at	
S76756	35422_at	
S76756	219_i_at	
S76756	220_r_at	
BC005148	37797_at	
BC058010	34884_at	
AF154830	34884_at	
AY317138	34884_at	
BX640601	34884_at	
D82348	38811_at	
M30938	2093_s_at	
M30938	38733_at	
M30938	584_s_at	
M30938	585_at	
AL137534	41810_at	
BC016748	31962_at	
BC004312	1741_s_at	
BC004312	40422_at	
U11872	1032_at	
U11872	1033_g_at	
U11872	664_at	
L19593	1032_at	
